index,e,n,u
188,606.388919,-738.378584,0.0
189,606.709491,-737.995041,0.0
190,607.030063,-737.611498,0.0
191,607.350634,-737.227954,0.0
192,607.671193,-736.844400,0.0
193,607.991751,-736.460845,0.0
194,608.312309,-736.077291,0.0
195,608.632867,-735.693737,0.0
196,608.953425,-735.310182,0.0
197,609.273983,-734.926628,0.0
198,609.599355,-734.547163,0.0
199,609.924728,-734.167698,0.0
200,610.250100,-733.788234,0.0
201,610.575472,-733.408769,0.0
202,610.900845,-733.029304,0.0
203,611.226217,-732.649839,0.0
204,611.552114,-732.270827,0.0
205,611.878012,-731.891815,0.0
206,612.203909,-731.512802,0.0
207,612.529807,-731.133790,0.0
208,612.851051,-730.750762,0.0
209,613.172295,-730.367733,0.0
210,613.493539,-729.984705,0.0
211,613.814783,-729.601677,0.0
212,614.136028,-729.218648,0.0
213,614.457272,-728.835620,0.0
214,614.778170,-728.452298,0.0
215,615.099069,-728.068975,0.0
216,615.419968,-727.685653,0.0
217,615.740866,-727.302331,0.0
218,616.061765,-726.919009,0.0
219,616.382663,-726.535686,0.0
220,616.706205,-726.154698,0.0
221,617.029747,-725.773709,0.0
222,617.353289,-725.392721,0.0
223,617.676831,-725.011732,0.0
224,618.000373,-724.630743,0.0
225,618.323915,-724.249755,0.0
226,618.647690,-723.868978,0.0
227,618.971466,-723.488202,0.0
228,619.295242,-723.107425,0.0
229,619.619018,-722.726649,0.0
230,619.942793,-722.345872,0.0
231,620.074881,-722.190530,0.0
232,620.074881,-722.190530,0.0
233,620.400281,-721.811054,0.0
234,620.725680,-721.431579,0.0
235,621.051080,-721.052103,0.0
236,621.376480,-720.672628,0.0
237,621.701880,-720.293152,0.0
238,622.027279,-719.913676,0.0
239,622.352679,-719.534201,0.0
240,622.678079,-719.154725,0.0
241,623.003478,-718.775250,0.0
242,623.328878,-718.395774,0.0
243,623.654278,-718.016299,0.0
244,623.979678,-717.636823,0.0
245,624.305077,-717.257347,0.0
246,624.630477,-716.877872,0.0
247,624.955877,-716.498396,0.0
248,625.281276,-716.118921,0.0
249,625.606676,-715.739445,0.0
250,625.932076,-715.359970,0.0
251,626.257476,-714.980494,0.0
252,626.582875,-714.601018,0.0
253,626.908275,-714.221543,0.0
254,627.233675,-713.842067,0.0
255,627.559075,-713.462592,0.0
256,627.884474,-713.083116,0.0
257,628.209874,-712.703641,0.0
258,628.535274,-712.324165,0.0
259,628.860673,-711.944689,0.0
260,629.186073,-711.565214,0.0
261,629.511520,-711.185798,0.0
262,629.836966,-710.806383,0.0
263,630.162412,-710.426968,0.0
264,630.487859,-710.047552,0.0
265,630.813305,-709.668137,0.0
