index,e,n,u
188,781.284908,-640.867244,0.0
189,782.577571,-641.888973,0.0
190,783.834834,-642.890743,0.0
191,785.515437,-644.181453,0.0
192,786.887874,-645.239131,0.0
193,788.468501,-646.461910,0.0
194,790.058467,-647.688960,0.0
195,791.485957,-648.790767,0.0
196,792.855586,-649.848201,0.0
197,794.624202,-651.213924,0.0
198,796.345149,-652.542964,0.0
199,798.149287,-653.936336,0.0
200,799.728938,-655.156246,0.0
201,801.268916,-656.345638,0.0
202,803.261470,-657.884456,0.0
203,805.149776,-659.342647,0.0
204,807.022273,-660.787532,0.0
205,808.641902,-662.039851,0.0
206,810.184139,-663.232173,0.0
207,812.128352,-664.735408,0.0
208,814.037349,-666.211910,0.0
209,816.058101,-667.775325,0.0
210,817.779109,-669.107845,0.0
211,819.527522,-670.461482,0.0
212,821.625728,-672.084834,0.0
213,823.704158,-673.692378,0.0
214,825.857967,-675.358333,0.0
215,828.030147,-677.038631,0.0
216,829.933772,-678.511104,0.0
217,831.770442,-679.931819,0.0
218,833.881343,-681.564388,0.0
219,835.728816,-682.992915,0.0
220,837.427425,-684.305965,0.0
221,838.658687,-685.257259,0.0
222,839.734920,-686.089046,0.0
223,840.990169,-687.059139,0.0
224,842.196407,-687.991634,0.0
225,843.412776,-688.931697,0.0
226,844.439632,-689.725459,0.0
227,845.465694,-690.518672,0.0
228,846.846248,-691.585506,0.0
229,847.963924,-692.449581,0.0
230,849.183101,-693.391536,0.0
231,850.382137,-694.318355,0.0
232,851.391170,-695.098018,0.0
233,852.391170,-695.870662,0.0
234,853.751643,-696.928706,0.0
235,854.920100,-697.876216,0.0
236,856.250545,-698.975704,0.0
237,857.423030,-699.956844,0.0
238,858.465205,-700.967098,0.0
239,859.591426,-702.346736,0.0
240,860.333858,-703.553157,0.0
241,860.969234,-704.913692,0.0
242,861.374446,-706.253719,0.0
243,861.625728,-707.633540,0.0
244,861.730830,-708.883907,0.0
245,861.686580,-710.254329,0.0
246,861.546932,-711.708003,0.0
247,861.420223,-713.215206,0.0
248,861.291011,-714.644283,0.0
249,861.123409,-716.153133,0.0
250,860.866817,-717.999324,0.0
251,860.594783,-719.734493,0.0
252,860.235835,-721.530818,0.0
253,859.789180,-723.388545,0.0
254,859.278743,-725.258479,0.0
255,858.729549,-726.843013,0.0
256,858.082820,-728.228328,0.0
257,857.030940,-729.906551,0.0
258,856.013606,-731.163265,0.0
259,854.756343,-732.365047,0.0
260,853.621089,-733.268733,0.0
261,852.558467,-734.161189,0.0
262,851.377864,-735.308406,0.0
263,850.253841,-736.544673,0.0
264,849.137264,-737.704219,0.0
265,848.250362,-738.690791,0.0
266,847.462520,-739.687923,0.0
267,846.342281,-741.044551,0.0
268,845.311275,-742.291805,0.0
269,844.157344,-743.826717,0.0
270,842.897151,-745.469295,0.0
271,841.767818,-746.939754,0.0
272,840.655452,-748.335750,0.0
273,839.187801,-750.194148,0.0
274,838.001338,-751.703365,0.0
275,836.669856,-753.382015,0.0
276,835.291744,-755.042842,0.0
277,834.171443,-756.412410,0.0
278,833.095210,-757.731380,0.0
279,831.660884,-759.484554,0.0
280,830.494685,-760.872432,0.0
281,829.189876,-762.436885,0.0
282,827.903682,-763.979976,0.0
283,826.850215,-765.242305,0.0
284,825.814815,-766.482784,0.0
285,824.461910,-768.103755,0.0
286,823.374507,-769.406307,0.0
287,822.164119,-770.853633,0.0
288,820.981441,-772.265560,0.0
289,819.798763,-773.680599,0.0
290,818.791805,-774.878475,0.0
291,817.834468,-776.035945,0.0
292,816.645564,-777.414180,0.0
293,815.530818,-778.715083,0.0
294,814.411250,-780.041133,0.0
295,813.279964,-781.399104,0.0
296,812.309627,-782.554256,0.0
297,811.356258,-783.690791,0.0
298,810.069270,-785.208431,0.0
299,808.998714,-786.428462,0.0
300,807.812923,-787.791683,0.0
301,806.843501,-788.932979,0.0
302,805.904598,-790.039058,0.0
303,804.802058,-791.341487,0.0
304,803.842464,-792.561336,0.0
305,802.894099,-793.739620,0.0
306,801.809200,-795.095149,0.0
307,800.947261,-796.108577,0.0
308,799.759456,-797.470027,0.0
309,798.714778,-798.677852,0.0
310,797.527827,-800.114436,0.0
311,796.225276,-801.650447,0.0
312,795.094539,-802.969478,0.0
313,793.970454,-804.290035,0.0
314,792.492793,-806.026668,0.0
315,791.277583,-807.452876,0.0
316,789.956111,-809.003414,0.0
317,788.646907,-810.539790,0.0
318,787.339046,-812.075435,0.0
319,786.186458,-813.428645,0.0
320,784.987788,-814.835750,0.0
321,783.273799,-816.848750,0.0
322,781.847835,-818.524837,0.0
323,780.285091,-820.360774,0.0
324,778.732356,-822.181697,0.0
325,777.437618,-823.699153,0.0
326,776.147151,-825.211971,0.0
327,774.443599,-827.209407,0.0
328,772.938045,-828.974361,0.0
329,771.245601,-830.958309,0.0
330,769.590022,-832.898738,0.0
331,768.218745,-834.506221,0.0
332,766.895869,-836.056697,0.0
333,765.162410,-838.091548,0.0
334,763.705745,-839.850520,0.0
335,762.087215,-841.793453,0.0
336,760.337398,-843.895503,0.0
337,758.780269,-845.768611,0.0
338,757.198726,-847.668331,0.0
339,754.998897,-850.309383,0.0
340,753.070247,-852.600398,0.0
341,750.826228,-855.223567,0.0
342,748.478389,-857.983455,0.0
343,746.033382,-860.859432,0.0
344,743.924922,-863.338130,0.0
345,741.876338,-865.745235,0.0
346,739.139583,-868.959651,0.0
347,736.948482,-871.535640,0.0
348,734.498103,-874.416805,0.0
349,732.083186,-877.310726,0.0
350,729.649776,-880.154109,0.0
351,727.536372,-882.590267,0.0
352,725.550655,-884.924800,0.0
353,722.932918,-888.010311,0.0
354,720.756526,-890.566890,0.0
355,718.383601,-893.354122,0.0
356,715.978450,-896.179683,0.0
357,713.954829,-898.556026,0.0
358,711.998286,-900.853816,0.0
359,709.406978,-903.898006,0.0
360,707.110896,-906.595638,0.0
361,704.757686,-909.359798,0.0
362,702.822566,-911.632503,0.0
363,701.146419,-913.600948,0.0
364,699.158443,-915.936031,0.0
365,697.612972,-917.752315,0.0
366,695.906978,-919.757564,0.0
367,694.363277,-921.571773,0.0
368,693.196834,-922.942684,0.0
369,692.185298,-924.131587,0.0
370,691.001827,-925.522518,0.0
371,689.874263,-926.847774,0.0
372,688.734737,-928.187007,0.0
373,687.758662,-929.334041,0.0
374,686.818965,-930.438411,0.0
375,685.613399,-931.855281,0.0
376,684.588191,-933.060237,0.0
377,683.500728,-934.338008,0.0
378,682.414912,-935.619869,0.0
379,681.411800,-936.787105,0.0
380,680.471248,-937.761348,0.0
381,679.194026,-938.844173,0.0
382,677.926936,-939.657039,0.0
383,676.562618,-940.305232,0.0
384,675.446346,-940.693050,0.0
385,674.338435,-940.940303,0.0
386,672.921443,-941.080013,0.0
387,671.468379,-941.111446,0.0
388,669.843501,-940.996578,0.0
389,668.353755,-940.798885,0.0
390,666.953731,-940.529170,0.0
391,665.124385,-940.210079,0.0
392,663.577693,-939.954158,0.0
393,661.723262,-939.586116,0.0
394,659.751765,-939.065975,0.0
395,658.004329,-938.557613,0.0
396,656.381221,-937.933040,0.0
397,654.454890,-937.056331,0.0
398,652.682063,-936.115474,0.0
399,650.973933,-935.061214,0.0
400,649.497920,-933.867671,0.0
401,648.333003,-932.656856,0.0
402,647.173579,-931.325984,0.0
403,645.610713,-929.635799,0.0
404,643.826900,-927.972835,0.0
405,641.917781,-926.349666,0.0
406,640.238216,-925.174251,0.0
407,638.586604,-924.132015,0.0
408,636.469173,-922.700374,0.0
409,634.642696,-921.228328,0.0
410,632.838618,-919.559566,0.0
411,631.296748,-918.226863,0.0
412,629.873103,-916.997920,0.0
413,628.109370,-915.457210,0.0
414,626.419917,-913.982356,0.0
415,624.661189,-912.451656,0.0
416,623.206111,-911.184627,0.0
417,621.808589,-909.966121,0.0
418,620.039119,-908.416927,0.0
419,618.377254,-907.003597,0.0
420,616.966670,-905.838497,0.0
421,615.645869,-904.732845,0.0
422,613.884456,-903.259212,0.0
423,612.429622,-902.045162,0.0
424,610.812618,-900.693660,0.0
425,609.210567,-899.364314,0.0
426,607.891536,-898.207637,0.0
427,606.773616,-897.063350,0.0
428,605.579341,-895.535091,0.0
429,604.693721,-894.032466,0.0
430,604.038509,-892.493770,0.0
431,603.702693,-891.179500,0.0
432,603.446712,-889.946102,0.0
433,603.352534,-888.340816,0.0
434,603.439082,-886.695979,0.0
435,603.686763,-884.911739,0.0
436,604.040828,-883.498470,0.0
437,604.468562,-882.304683,0.0
438,605.154170,-880.885005,0.0
439,605.814388,-879.851192,0.0
440,606.685909,-878.761775,0.0
441,607.619380,-877.873775,0.0
442,608.725337,-877.045467,0.0
443,610.256038,-875.955928,0.0
444,611.822993,-874.735042,0.0
445,613.405879,-873.296443,0.0
446,614.742549,-871.890926,0.0
447,616.038997,-870.387264,0.0
448,617.875911,-868.355769,0.0
449,619.739619,-866.276485,0.0
450,621.548763,-863.965938,0.0
451,623.049861,-861.799373,0.0
452,624.560115,-859.631770,0.0
453,626.572871,-856.844844,0.0
454,628.783076,-854.192928,0.0
455,631.246516,-851.419185,0.0
456,633.665889,-848.473262,0.0
457,635.825801,-845.847408,0.0
458,638.117549,-843.207027,0.0
459,640.955135,-839.931819,0.0
460,643.802608,-836.441768,0.0
461,646.249019,-833.409419,0.0
462,648.723750,-830.379390,0.0
463,651.976192,-826.407283,0.0
464,655.365840,-822.267696,0.0
465,657.971004,-819.073787,0.0
466,660.568599,-815.981136,0.0
467,663.793941,-812.165096,0.0
468,666.649654,-808.729549,0.0
469,669.689082,-805.142574,0.0
470,673.126521,-801.087642,0.0
471,676.381038,-797.264400,0.0
472,679.956477,-793.066158,0.0
473,683.556087,-788.845027,0.0
474,687.019893,-784.868526,0.0
475,689.818660,-781.597408,0.0
476,692.176082,-778.802425,0.0
477,694.840511,-775.664058,0.0
478,697.215205,-772.884639,0.0
479,699.433284,-770.323482,0.0
480,701.083980,-768.392818,0.0
481,702.549983,-766.665218,0.0
482,704.064998,-764.741206,0.0
483,705.411006,-763.046993,0.0
484,706.634639,-761.523982,0.0
485,708.086971,-759.745174,0.0
